Latitude (decimal degrees):	48.379
Longitude (decimal degrees):	9.491
Elevation (m):	770
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: -165 deg. 
Nominal power of the PV system (c-Si) (kWp):	4.5
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-2.26,1.45,0.0
20200101:0110,0.0,0.0,0.0,-2.46,1.38,0.0
20200101:0210,0.0,0.0,0.0,-2.66,1.38,0.0
20200101:0310,0.0,0.0,0.0,-3.53,1.59,0.0
20200101:0410,0.0,0.0,0.0,-4.13,1.66,0.0
20200101:0510,0.0,0.0,0.0,-4.23,1.45,0.0
20200101:0610,0.0,0.0,0.0,-4.3,1.24,0.0
20200101:0710,0.0,0.0,0.0,-4.5,1.31,0.0
20200101:0810,94.82,35.42,6.41,-3.79,1.03,0.0
20200101:0910,136.89,46.69,12.51,-1.64,0.97,0.0
20200101:1010,177.03,57.16,16.68,-0.02,1.1,0.0
20200101:1110,144.27,49.11,18.54,1.3,1.24,0.0
20200101:1210,124.92,44.28,17.89,2.45,1.38,0.0
20200101:1310,115.47,41.86,14.82,2.96,1.31,0.0
20200101:1410,82.98,33.01,9.6,2.63,1.03,0.0
20200101:1510,12.92,11.27,2.68,1.49,1.38,0.0
20200101:1610,0.0,0.0,0.0,-0.14,1.59,0.0
20200101:1710,0.0,0.0,0.0,-1.22,1.59,0.0
20200101:1810,0.0,0.0,0.0,-2.43,1.31,0.0
20200101:1910,0.0,0.0,0.0,-3.18,0.83,0.0
20200101:2010,0.0,0.0,0.0,-3.31,0.48,0.0
20200101:2110,0.0,0.0,0.0,-4.02,0.48,0.0
20200101:2210,0.0,0.0,0.0,-4.15,0.62,0.0
20200101:2310,0.0,0.0,0.0,-4.21,0.62,0.0
20200102:0010,0.0,0.0,0.0,-4.24,0.69,0.0
20200102:0110,0.0,0.0,0.0,-4.11,0.83,0.0
20200102:0210,0.0,0.0,0.0,-3.98,1.1,0.0
20200102:0310,0.0,0.0,0.0,-3.76,1.31,0.0
20200102:0410,0.0,0.0,0.0,-3.48,1.38,0.0
20200102:0510,0.0,0.0,0.0,-3.62,1.31,0.0
20200102:0610,0.0,0.0,0.0,-3.64,1.1,0.0
20200102:0710,0.0,0.0,0.0,-3.48,1.38,0.0
20200102:0810,79.56,31.4,6.43,-3.12,1.38,0.0
20200102:0910,207.22,64.4,12.55,-1.07,1.1,0.0
20200102:1010,266.9,79.7,16.74,1.46,1.1,0.0
20200102:1110,241.78,74.07,18.62,3.23,1.24,0.0
20200102:1210,195.39,62.79,17.99,4.38,1.24,0.0
20200102:1310,249.75,76.48,14.93,4.71,1.17,0.0
20200102:1410,151.38,51.52,9.73,4.34,1.45,0.0
20200102:1510,10.76,10.47,2.8,2.52,2.14,0.0
20200102:1610,0.0,0.0,0.0,0.57,2.21,0.0
20200102:1710,0.0,0.0,0.0,-0.14,2.21,0.0
20200102:1810,0.0,0.0,0.0,-0.23,2.21,0.0
20200102:1910,0.0,0.0,0.0,-1.06,2.41,0.0
20200102:2010,0.0,0.0,0.0,-0.99,2.55,0.0
20200102:2110,0.0,0.0,0.0,-0.82,2.62,0.0
20200102:2210,0.0,0.0,0.0,-0.69,2.69,0.0
20200102:2310,0.0,0.0,0.0,-0.49,2.69,0.0
20200103:0010,0.0,0.0,0.0,-0.37,2.76,0.0
20200103:0110,0.0,0.0,0.0,-0.13,2.76,0.0
20200103:0210,0.0,0.0,0.0,0.49,2.69,0.0
20200103:0310,0.0,0.0,0.0,0.75,2.76,0.0
20200103:0410,0.0,0.0,0.0,0.97,2.83,0.0
20200103:0510,0.0,0.0,0.0,1.23,2.9,0.0
20200103:0610,0.0,0.0,0.0,1.6,2.97,0.0
20200103:0710,0.0,0.0,0.0,0.29,3.24,0.0
20200103:0810,75.1,30.59,6.46,0.94,3.45,0.0
20200103:0910,250.16,75.68,12.6,2.27,3.66,0.0
20200103:1010,347.18,99.83,16.81,4.19,3.66,0.0
20200103:1110,279.0,83.73,18.71,5.46,3.79,0.0
20200103:1210,417.38,117.54,18.1,6.29,4.34,0.0
20200103:1310,333.72,97.41,15.05,6.42,4.21,0.0
20200103:1410,111.02,41.06,9.86,5.74,4.0,0.0
20200103:1510,0.0,3.22,2.94,4.69,3.93,0.0
20200103:1610,0.0,0.0,0.0,4.29,4.0,0.0
20200103:1710,0.0,0.0,0.0,4.13,3.86,0.0
20200103:1810,0.0,0.0,0.0,4.05,3.86,0.0
20200103:1910,0.0,0.0,0.0,3.56,4.14,0.0
20200103:2010,0.0,0.0,0.0,3.2,4.28,0.0
20200103:2110,0.0,0.0,0.0,2.95,4.28,0.0
20200103:2210,0.0,0.0,0.0,3.03,4.21,0.0
20200103:2310,0.0,0.0,0.0,3.15,4.14,0.0
20200104:0010,0.0,0.0,0.0,3.28,4.0,0.0
20200104:0110,0.0,0.0,0.0,3.42,3.79,0.0
20200104:0210,0.0,0.0,0.0,3.47,3.45,0.0
20200104:0310,0.0,0.0,0.0,3.38,3.03,0.0
20200104:0410,0.0,0.0,0.0,3.27,2.69,0.0
20200104:0510,0.0,0.0,0.0,3.18,2.48,0.0
20200104:0610,0.0,0.0,0.0,2.93,2.62,0.0
20200104:0710,0.0,0.0,0.0,2.93,2.62,0.0
20200104:0810,68.8,28.98,6.5,2.35,2.62,0.0
20200104:0910,214.34,66.82,12.66,1.89,2.83,0.0
20200104:1010,401.8,111.9,16.88,1.81,3.03,0.0
